VISDATA
18
0 13  5 6 4 7 3 8 9 11 2 16 12 15 14 
1 0
2 13  11 5 3 16 12 4 6 7 15 0 14 9 17 
3 14  11 12 6 5 0 15 2 14 9 7 8 17 4 16 
4 12  6 9 5 8 12 11 0 7 2 14 15 3 
5 10  0 4 3 2 9 6 8 12 7 11 
6 10  4 0 3 5 2 7 11 9 8 12 
7 10  0 4 9 2 6 3 8 12 5 11 
8 7  4 0 5 7 3 9 6 
9 9  4 0 5 7 3 11 2 8 6 
10 0
11 12  3 2 4 12 0 16 14 6 9 5 15 7 
12 12  3 4 11 15 16 2 5 0 7 14 17 6 
13 0
14 9  15 16 3 11 2 4 17 0 12 
15 9  14 16 17 3 12 2 0 4 11 
16 8  15 14 2 11 12 17 0 3 
17 6  15 16 14 2 3 12 
