pointX,pointY,pointZ,normalX,normalY,normalZ,camera1X,camera1Y,camera1Z,camera2X,camera2Y,camera2Z,RWorldToCamera1_11,RWorldToCamera1_12,RWorldToCamera1_13,RWorldToCamera1_21,RWorldToCamera1_22,RWorldToCamera1_23,RWorldToCamera1_31,RWorldToCamera1_32,RWorldToCamera1_33,RCamera2ToWorld_11,RCamera2ToWorld_12,RCamera2ToWorld_13,RCamera2ToWorld_21,RCamera2ToWorld_22,RCamera2ToWorld_23,RCamera2ToWorld_31,RCamera2ToWorld_32,RCamera2ToWorld_33
-0.195469,0.340699,1.89361,-0.377259,-0.367299,-0.850157,-2.10995,0.000465607,-0.918597,-0.195663,0.34051,1.89318,0.923803,-0.247111,-0.292446,0.206488,0.964784,-0.162953,0.322415,0.0901494,0.942296,-0.697585,-0.609139,-0.377259,0.716502,-0.593057,-0.367299,0,0.526529,-0.850157
-0.195469,0.340699,1.89361,-0.377259,-0.367299,-0.850157,-1.18478,0.000590428,-0.649761,-0.195684,0.34049,1.89313,0.993237,-0.116101,-1.3145e-07,0.114104,0.976147,-0.184708,0.021445,0.183459,0.982793,-0.697585,-0.609139,-0.377259,0.716502,-0.593057,-0.367299,0,0.526529,-0.850157
0.453512,0.229905,1.70266,0.545404,0.0464086,-0.836888,-0.07555,0.00103718,-0.259122,0.453786,0.229928,1.70224,0.973927,-0.173828,-0.145775,0.106273,0.917282,-0.383797,0.200432,0.358298,0.911839,0.0847839,0.833874,0.545404,-0.996399,0.0709546,0.0464086,0,0.547375,-0.836888
0.453512,0.229905,1.70266,0.545404,0.0464086,-0.836888,0.941506,-2.77556e-17,-0.0130957,0.453768,0.229926,1.70227,0.994195,-0.0679198,0.08344,0.0915075,0.941695,-0.323784,-0.0565837,0.32954,0.942444,0.0847839,0.833874,0.545404,-0.996399,0.0709546,0.0464086,0,0.547375,-0.836888
0.453512,0.229905,1.70266,0.545404,0.0464086,-0.836888,0.938975,9.35498e-05,0.00216803,0.453744,0.229924,1.70231,0.948344,0.0562305,0.312221,-0.0447116,0.998033,-0.0439367,-0.314077,0.0277072,0.948993,0.0847839,0.833874,0.545404,-0.996399,0.0709546,0.0464086,0,0.547375,-0.836888
0.453512,0.229905,1.70266,0.545404,0.0464086,-0.836888,0.927307,0.00413754,0.0149121,0.453698,0.229921,1.70238,0.847184,0.149646,0.509789,0.0418873,0.937715,-0.344871,-0.529646,0.313523,0.788149,0.0847839,0.833874,0.545404,-0.996399,0.0709546,0.0464086,0,0.547375,-0.836888
0.453512,0.229905,1.70266,0.545404,0.0464086,-0.836888,-0.0681423,-0.00736975,-0.257451,0.453786,0.229928,1.70224,0.847256,-0.271326,-0.456662,0.216762,0.961469,-0.169093,0.484946,0.044278,0.873423,0.0847839,0.833874,0.545404,-0.996399,0.0709546,0.0464086,0,0.547375,-0.836888
0.453512,0.229905,1.70266,0.545404,0.0464086,-0.836888,0.94399,6.40016e-05,-0.00124293,0.453781,0.229928,1.70225,0.996363,-0.0840907,-0.0137599,0.0839486,0.996414,-0.010603,0.0146021,0.00940934,0.999849,0.0847839,0.833874,0.545404,-0.996399,0.0709546,0.0464086,0,0.547375,-0.836888
0.453512,0.229905,1.70266,0.545404,0.0464086,-0.836888,-0.0787986,-0.00266812,-0.263542,0.453793,0.229929,1.70223,0.969678,-0.167162,-0.178275,0.144547,0.980498,-0.133154,0.197056,0.103348,0.97493,0.0847839,0.833874,0.545404,-0.996399,0.0709546,0.0464086,0,0.547375,-0.836888
0.453512,0.229905,1.70266,0.545404,0.0464086,-0.836888,2.36012,-0.0730455,0.226426,0.453545,0.229907,1.70261,0.372995,0.367053,0.852143,-0.0181638,0.921135,-0.38882,-0.927656,0.12955,0.350245,0.0847839,0.833874,0.545404,-0.996399,0.0709546,0.0464086,0,0.547375,-0.836888
